index_,country_name,m2016,f2016,country_code,short_name,table_name,long_name,2-alpha_code,currency_unit,special_notes,region,income_group,wb-2_code,national_accounts_base_year,national_accounts_reference_year,sna_price_valuation,lending_category,other_groups,system_of_national_accounts,alternative_conversion_factor,balance_of_payments_manual_in_use,external_debt_reporting_status,system_of_trade,government_accounting_concept,imf_data_dissemination_standard,latest_population_census,latest_household_survey,source_of_most_recent_income_and_expenditure_data,vital_registration_complete,latest_agricultural_census,latest_industrial_data,latest_trade_data,mean_age
159,Myanmar,40.1,2.207,MMR,Myanmar,Myanmar,Republic of the Union of Myanmar,MM,Myanmar kyat,Fiscal year end: September 30; reporting period for national accounts data: FY.,East Asia & Pacific,Lower middle income,MM,2016,,Value added at producer prices (VAP),IDA,,Country uses the 1968 System of National Accounts methodology,,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2014,"Demographic and Health Survey, 2015/16","Integrated household survey (IHS), 2015",,2010,,2018,72
161,Montenegro,3.5,1.667,MNE,Montenegro,Montenegro,Montenegro,ME,Euro,"Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators continue to include data for Montenegro through 2005.",Europe & Central Asia,Upper middle income,ME,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,BPM6,Actual,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),2011,"Multiple Indicator Cluster Survey, 2018","Expenditure survey/budget survey (ES/BS), 2014",Yes,2010,,2018,77
162,Mongolia,15.4,2.757,MNG,Mongolia,Mongolia,Mongolia,MN,Mongolian tugrik,,East Asia & Pacific,Lower middle income,MN,2015,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020,"Multiple Indicator Cluster Survey, 2018","Integrated household survey (IHS), 2016",Yes,2011,2011,2018,39
163,Northern Mariana Islands,,,MNP,Northern Mariana Islands,Northern Mariana Islands,Commonwealth of the Northern Mariana Islands,MP,U.S. dollar,,East Asia & Pacific,High income,MP,2012,,,,,Country uses the 1968 System of National Accounts methodology,,,,,,,2020 (expected),,,Yes,2007,,,88
164,Mozambique,53.1,5.243,MOZ,Mozambique,Mozambique,Republic of Mozambique,MZ,New Mozambican metical,,Sub-Saharan Africa,Low income,MZ,2014,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,1992–95,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2017,"Malaria Indicator Survey, 2018","Expenditure survey/budget survey (ES/BS), 2014",,2009-2010,1973,2018,55
165,Mauritania,54.4,4.674,MRT,Mauritania,Mauritania,Islamic Republic of Mauritania,MR,Mauritanian ouguiya,National account data were adjusted to reflect the new banknote (1 new ouguiya = 10 old ouguiya),Sub-Saharan Africa,Lower middle income,MR,2014,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,BPM6,Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),2013,"Demographic and Health Survey, 2019/20","Integrated household survey (IHS), 2014",,,,2017,71
166,Mauritius,12.2,1.4,MUS,Mauritius,Mauritius,Republic of Mauritius,MU,Mauritian rupee,,Sub-Saharan Africa,Upper middle income,MU,2006,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020 (expected),"World Health Survey, 2003","Integrated household survey (IHS), 2012",Yes,2014,2012,2018,55
167,Malawi,38.9,4.571,MWI,Malawi,Malawi,Republic of Malawi,MW,Malawi kwacha,,Sub-Saharan Africa,Low income,MW,2017,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2018,"Fifth Integrated Household Survey 2019-2020; Multiple Indicator Cluster Survey, 2019/20","Integrated household survey (IHS), 2016",,2006-2007,2012,2017,60
168,Malaysia,7.1,2.037,MYS,Malaysia,Malaysia,Malaysia,MY,Malaysian ringgit,,East Asia & Pacific,Upper middle income,MY,2015,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,BPM6,,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2020 (expected),"World Health Survey, 2003","Income survey (IS), 2015",Yes,"2015. Economic Census, Natural Resources Census, Livestock Census, Livestock and Aquaculture Census or Sample Agricultural Census.",2012,2018,56
170,Namibia,32.3,3.415,NAM,Namibia,Namibia,Republic of Namibia,,Namibian dollar,Fiscal year end: March 31; reporting period for national accounts data: CY.,Sub-Saharan Africa,Upper middle income,,2015,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,BPM6,,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2011,"Demographic and Health Survey, 2013","Expenditure survey/budget survey (ES/BS), 2015",,2013-2014,2013,2018,30
171,New Caledonia,,2.08,NCL,New Caledonia,New Caledonia,New Caledonia,NC,CFP franc,,East Asia & Pacific,High income,NC,1990,,Value added at producer prices (VAP),,,Country uses the 1993 System of National Accounts methodology,,BPM6,,General trade system,,,2019,,,Yes,,,2015,41
172,Niger,50.9,7.239,NER,Niger,Niger,Republic of Niger,NE,West African CFA franc,,Sub-Saharan Africa,Low income,NE,2015,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,1993,BPM6,Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),2012,"Demographic and Health Survey, 2017","Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2014",,2004-2008,2002,2016,49
173,Nigeria,66.9,5.526,NGA,Nigeria,Nigeria,Federal Republic of Nigeria,NG,Nigerian naira,,Sub-Saharan Africa,Lower middle income,NG,2010,,Value added at basic prices (VAB),Blend,,Country uses the 2008 System of National Accounts methodology,1971–98,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Living Standards Survey 2018-2019; General Household Survey, Panel 2018-2019","Integrated household survey (IHS), 2009/10",,"2007. Economic Census, Natural Resources Census, Livestock Census, Livestock and Aquaculture Census or Sample Agricultural Census.",1996,2018,79
174,Nicaragua,16.8,2.2,NIC,Nicaragua,Nicaragua,Republic of Nicaragua,NI,Nicaraguan gold cordoba,,Latin America & Caribbean,Lower middle income,NI,Original chained constant price data are rescaled.,2006,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,1965–95,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Reproductive Health Survey, 2006/2007","Living Standards Measurement Study Survey (LSMS), 2016",,2011,1985,2018,43
175,Netherlands,3.2,1.66,NLD,Netherlands,Netherlands,Kingdom of the Netherlands,NL,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 2.20371 Netherlands guilder. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,NL,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Income survey (IS), 2015",Yes,2010,2014,2018,73
176,Norway,2.1,1.72,NOR,Norway,Norway,Kingdom of Norway,NO,Norwegian krone,,Europe & Central Asia,High income,NO,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011. Population figures compiled from administrative registers.,,"Income survey (IS), 2014",Yes,2010,2014,2018,68
177,Nepal,28.4,2.118,NPL,Nepal,Nepal,Nepal,NP,Nepalese rupee,Fiscal year end: July 14; reporting period for national accounts data: FY.,South Asia,Lower middle income,NP,2010/11,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2011,"Multiple Indicator Cluster Survey, 2019","Living Standards Measurement Study Survey (LSMS), 2010/11",,2011-2012,2011,2017,52
178,Nauru,28.5,,NRU,Nauru,Nauru,Republic of Nauru,NR,Australian dollar,Fiscal year end: June 30; reporting period for national accounts data: FY.,East Asia & Pacific,High income,NR,2007,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,BPM6,,,,,2011,"Nauru Demographic and Health Survey, 2007",,Yes,,,,51
179,New Zealand,4.5,1.87,NZL,New Zealand,New Zealand,New Zealand,NZ,New Zealand dollar,Fiscal year end: March 31; reporting period for national accounts data: CY.,East Asia & Pacific,High income,NZ,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,BPM6,,General trade system,,,2018,,,Yes,2012,2012,2018,51
181,Oman,9.2,2.666,OMN,Oman,Oman,Sultanate of Oman,OM,Omani rial,,Middle East & North Africa,High income,OM,2010,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology,,BPM5 (Converted into BPM6 by IMF),,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2014",,,2012-2013,2014,2018,72
183,Pakistan,64.2,3.481,PAK,Pakistan,Pakistan,Islamic Republic of Pakistan,PK,Pakistani rupee,Fiscal year end: June 30; reporting period for national accounts data: FY.,South Asia,Lower middle income,PK,2005/06,,Value added at basic prices (VAB),Blend,,Country uses the 2008 System of National Accounts methodology,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2017,"Pakistan Maternal Mortality Survey
Other Data , 2019","Integrated household survey (IHS), 2014/15",,2010,2006,2018,36
184,Panama,14.1,2.514,PAN,Panama,Panama,Republic of Panama,PA,Panamanian balboa,,Latin America & Caribbean,Upper middle income,PA,Original chained constant price data are rescaled.,2007,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,BPM6,Actual,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2013","Integrated household survey (IHS), 2016",Yes,2011,2001,2016,37
185,Peru,11.9,2.4,PER,Peru,Peru,Republic of Peru,PE,Peruvian new sol,,Latin America & Caribbean,Upper middle income,PE,2007,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,1985–90,BPM5 (Converted into BPM6 by IMF),Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2017,"Continuous Demographic and Health Survey, 2014","Integrated household survey (IHS), 2017",,2012,2011,2018,76
186,Philippines,21.5,2.925,PHL,Philippines,Philippines,Republic of the Philippines,PH,Philippine peso,,East Asia & Pacific,Lower middle income,PH,2018,,Value added at producer prices (VAP),IBRD,,Country uses the 2008 System of National Accounts methodology,,BPM6,Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2020 (expected),"Demographic and Health Survey, 2017","Expenditure survey/budget survey (ES/BS), 2015",Yes,2012,2012,2018,45
187,Palau,13.7,,PLW,Palau,Palau,Republic of Palau,PW,U.S. dollar,Fiscal year ends on September 30; reporting period for national accounts data: FY.,East Asia & Pacific,High income,PW,2019,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,BPM6,,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2015,,"Expenditure survey/budget survey (ES/BS), 2006",Yes,,,2018,88
188,Papua New Guinea,42.4,3.658,PNG,Papua New Guinea,Papua New Guinea,The Independent State of Papua New Guinea,PG,Papua New Guinea kina,,East Asia & Pacific,Lower middle income,PG,2013,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology,1989,BPM5 (Converted into BPM6 by IMF),Actual,,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Demographic and Health Survey, 2016/18","Integrated household survey (IHS), 2009/10",,,1987,2012,57
189,Poland,4,1.32,POL,Poland,Poland,Republic of Poland,PL,Polish zloty,,Europe & Central Asia,High income,PL,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Expenditure survey/budget survey (ES/BS), 2016",Yes,2010,2013,2018,42
191,Puerto Rico,,1.3,PRI,Puerto Rico,Puerto Rico,Puerto Rico,PR,U.S. dollar,Fiscal year end: June 30; reporting period for national accounts data: FY.,Latin America & Caribbean,High income,PR,1953/54,,Value added at producer prices (VAP),,,Country uses the 1968 System of National Accounts methodology,,,,General trade system,,,2020 (expected),"Reproductive Health Survey, 1995/96",,Yes,2012,2006,,46
193,Portugal,2.9,1.31,PRT,Portugal,Portugal,Portuguese Republic,PT,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 200.482 Portuguese escudo. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,PT,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2011,,,Yes,2009,2014,2018,62
194,Paraguay,17,2.48,PRY,Paraguay,Paraguay,Republic of Paraguay,PY,Paraguayan guarani,,Latin America & Caribbean,Upper middle income,PY,2014,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2012,"Multiple Indicator Cluster Survey, 2016","Integrated household survey (IHS), 2017",,2008,2010,2018,86
195,West Bank and Gaza,16.6,4.008,PSE,West Bank and Gaza,West Bank and Gaza,West Bank and Gaza,PS,Israeli new shekel,,Middle East & North Africa,Lower middle income,GZ,2015,,,,,Country uses the 2008 System of National Accounts methodology,,BPM6,,,Consolidated central government,Special Data Dissemination Standard (SDDS),2017,"Multiple Indicator Cluster Survey, 2019/20","Expenditure survey/budget survey (ES/BS), 2016/17",,2010,2013,2018,82
198,French Polynesia,,2.013,PYF,French Polynesia,French Polynesia,French Polynesia,PF,CFP franc,,East Asia & Pacific,High income,PF,2005,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology,,BPM6,,Special trade system,,,2017,,,Yes,,,2015,46
199,Qatar,7.3,1.907,QAT,Qatar,Qatar,State of Qatar,QA,Qatari riyal,,Middle East & North Africa,High income,QA,2018,,Value added at producer prices (VAP),,,Country uses the 1993 System of National Accounts methodology,,BPM5 (Converted into BPM6 by IMF),,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2012",,Yes,,2013,2018,69
200,Romania,7.7,1.58,ROU,Romania,Romania,Romania,RO,New Romanian leu,,Europe & Central Asia,Upper middle income,RO,Original chained constant price data are rescaled.,2005,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,"1987–89, 1992",BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2011,"Romania Reproductive Health Survey, 2004","Income survey (IS), 2016",Yes,2010,2013,2018,60
202,Rwanda,29.2,3.885,RWA,Rwanda,Rwanda,Republic of Rwanda,RW,Rwandan franc,,Sub-Saharan Africa,Low income,RW,2017,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,1994,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2012,"Demographic and Health Survey, 2019/20","Integrated household survey (IHS), 2016/17",,"2008, 2013",1999,2016,33
204,Saudi Arabia,11.1,2.532,SAU,Saudi Arabia,Saudi Arabia,Kingdom of Saudi Arabia,SA,Saudi Arabian riyal,,Middle East & North Africa,High income,SA,2010,,Value added at producer prices (VAP),,,Country uses the 2008 System of National Accounts methodology,,BPM6,,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2020 (expected),Demographic Survey 2016,,,2015,2006,2018,61
205,Sudan,44.8,4.532,SDN,Sudan,Sudan,Republic of the Sudan,SD,Sudanese pound,,Sub-Saharan Africa,Low income,SD,1996,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology,,BPM6,Preliminary,General trade system,,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2014","Expenditure survey/budget survey (ES/BS), 2009",,,2001,2017,69
206,Senegal,33.6,4.769,SEN,Senegal,Senegal,Republic of Senegal,SN,West African CFA franc,,Sub-Saharan Africa,Lower middle income,SN,2014,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,BPM6,Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2013,"Continuous Demographic and Health Survey, 2017","Priority survey (PS), 2011/12",,2013,2012,2018,48
207,Singapore,2.2,1.2,SGP,Singapore,Singapore,Republic of Singapore,SG,Singapore dollar,Fiscal year end: March 31; reporting period for national accounts data: CY.,East Asia & Pacific,High income,SG,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020 (expected). Population figures compiled from administrative registers.,"National Health Survey, 2010",,Yes,,2014,2018,30
208,Solomon Islands,21.8,3.85,SLB,Solomon Islands,Solomon Islands,Solomon Islands,SB,Solomon Islands dollar,,East Asia & Pacific,Lower middle income,SB,2012,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2019,"Solomon Islands Demographic and Health Survey, 2006/07","Integrated household survey (IHS), 2012/13",,,,2018,50
209,Sierra Leone,83.3,4.457,SLE,Sierra Leone,Sierra Leone,Republic of Sierra Leone,SL,Sierra Leonean leone,,Sub-Saharan Africa,Low income,SL,2006,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2020,"Demographic and Health Survey, 2019","Integrated household survey (IHS), 2011",,,1993,2017,90
210,El Salvador,12.9,2.079,SLV,El Salvador,El Salvador,Republic of El Salvador,SV,U.S. dollar,,Latin America & Caribbean,Lower middle income,SV,Original chained constant price data are rescaled.,2014,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2007,"Multiple Indicator Cluster Survey, 2014","Integrated household survey (IHS), 2017",Yes,2007-2008,1998,2018,37
211,San Marino,2.5,,SMR,San Marino,San Marino,Republic of San Marino,SM,Euro,,Europe & Central Asia,High income,SM,2007,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology,,,,,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),,,Yes,,,,45
212,Somalia,82.6,6.267,SOM,Somalia,Somalia,Somali Democratic Republic,SO,Somali shilling,,Sub-Saharan Africa,Low income,SO,2013,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology,1977–90,BPM5 (Converted into BPM6 by IMF),Actual,,,,1987. Enumeration of settled population was in November 1986 and of nomads in February 1987.,"Multiple Indicator Cluster Survey, 2006",,,,1986,,32
213,Serbia,5.1,1.46,SRB,Serbia,Serbia,Republic of Serbia,RS,New Serbian dinar,"Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators, such as those series for which data appear only for Serbia and not Montenegro--e.g., aid, environment, external debt, balance of payments, various social indicators excluding population--continue to include data for Montenegro through 2005. Moreover, data from 1999 onward for Serbia for most indicators exclude data for Kosovo, 1999 being the year when Kosovo became a territory under international administration pursuant to UN Security Council Resolution 1244 (1999); any exceptions are noted. Kosovo became a World Bank member on June 29, 2009; available data are shown separately for Kosovo. In 2011, the Statistical Office of Serbia improved the methodology of national accounts data for 2003 onward. Specifically, the classification of sectors was revised.",Europe & Central Asia,Upper middle income,YF,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2011,"Multiple Indicator Cluster Survey, 2019","Expenditure survey/budget survey (ES/BS), 2016",Yes,2012,2014,2018,79
215,South Sudan,59.2,4.855,SSD,South Sudan,South Sudan,Republic of South Sudan,SS,South Sudanese Pound,Fiscal year end: June 30; reporting period for national accounts data: FY.,Sub-Saharan Africa,Low income,SS,2009,,Value added at basic prices (VAB),IDA,,Country uses the 2008 System of National Accounts methodology,,BPM6,,,,,2008,"Multiple Indicator Cluster Survey, 2010","Expenditure survey/budget survey (ES/BS), 2009",,,,,75
219,Suriname,17.8,2.372,SUR,Suriname,Suriname,Republic of Suriname,SR,Suriname dollar,,Latin America & Caribbean,Upper middle income,SR,2015,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,BPM6,,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2012,"Multiple Indicator Cluster Survey, 2018","Expenditure survey/budget survey (ES/BS), 1999",Yes,2008-2009,,2018,54
220,Slovak Republic,4.9,1.4,SVK,Slovak Republic,Slovak Republic,Slovak Republic,SK,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2009: 1 euro = 30.126 Slovak koruna. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,SK,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2011,"World Health Survey, 2003","Income survey (IS), 2015",Yes,2010,2013,2018,63
221,Slovenia,1.8,1.57,SVN,Slovenia,Slovenia,Republic of Slovenia,SI,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2007: 1 euro = 239.64 Slovenian tolar. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,SI,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2018. Population figures compiled from administrative registers.,"World Health Survey, 2003","Income survey (IS), 2015",Yes,2010,2013,2018,59
222,Sweden,2.4,1.85,SWE,Sweden,Sweden,Kingdom of Sweden,SE,Swedish krona,Fiscal year end: June 30; reporting period for national accounts data: CY.,Europe & Central Asia,High income,SE,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2011. Population figures compiled from administrative registers.,,"Income survey (IS), 2015",Yes,2010,2014,2018,50
224,Sint Maarten (Dutch part),,,SXM,Sint Maarten (Dutch part),Sint Maarten (Dutch part),Sint Maarten (Dutch part),SX,Netherlands Antillean guilder,,Latin America & Caribbean,High income,SX,2011,,Value added at basic prices (VAB),,,,,BPM6,,,,,,,,Yes,,,,64
225,Seychelles,12.3,2.78,SYC,Seychelles,Seychelles,Republic of Seychelles,SC,Seychelles rupee,,Sub-Saharan Africa,High income,SC,2006,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020 (expected),,"Expenditure survey/budget survey (ES/BS), 2013",Yes,2011,,2018,65
226,Syrian Arab Republic,14.2,2.916,SYR,Syrian Arab Republic,Syrian Arab Republic,Syrian Arab Republic,SY,Syrian pound,,Middle East & North Africa,Low income,SY,2000,,Value added at producer prices (VAP),IDA,,Country uses the 1993 System of National Accounts methodology,1970–2010,BPM5 (Converted into BPM6 by IMF),Estimate,,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2004,"Multiple Indicator Cluster Survey, 2006","Expenditure survey/budget survey (ES/BS), 2007",,,2005,2010,73
227,Turks and Caicos Islands,,,TCA,Turks and Caicos Islands,Turks and Caicos Islands,Turks and Caicos Islands,TC,U.S. dollar,,Latin America & Caribbean,High income,TC,2012,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology,,BPM6,,,,,2012,"Multiple Indicator Cluster Survey, 2019/20",,Yes,,,2012,31
228,Chad,75.2,5.947,TCD,Chad,Chad,Republic of Chad,TD,Central African CFA franc,,Sub-Saharan Africa,Low income,TD,2005,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,BPM5 (Converted into BPM6 by IMF),Preliminary,,,Enhanced General Data Dissemination System (e-GDDS),2009,"Multiple Indicator Cluster Survey, 2019","Priority survey (PS), 2011",,,,1995,86
231,Togo,50.7,4.45,TGO,Togo,Togo,Republic of Togo,TG,West African CFA franc,,Sub-Saharan Africa,Low income,TG,2016,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Malaria Indicator Survey, 2017; Multiple Indicator Cluster Survey, 2017","Core Welfare Indicator Questionnaire Survey (CWIQ), 2015",,2011-14,,2017,82
232,Thailand,10.5,1.482,THA,Thailand,Thailand,Kingdom of Thailand,TH,Thai baht,Fiscal year end: September 30; reporting period for national accounts data: CY.,East Asia & Pacific,Upper middle income,TH,Original chained constant price data are rescaled.,2002,Value added at producer prices (VAP),IBRD,,Country uses the 2008 System of National Accounts methodology,,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2019","Integrated household survey (IHS), 2015",,2013,2011,2018,66
233,Tajikistan,37.1,3.36,TJK,Tajikistan,Tajikistan,Republic of Tajikistan,TJ,Tajik somoni,,Europe & Central Asia,Lower middle income,TJ,Original chained constant price data are rescaled.,2000,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,1990–95,BPM6,Actual,,,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Demographic and Health Survey, 2017","Expenditure survey/budget survey (ES/BS), 2015",,2013,,,78
234,Turkmenistan,43.4,2.888,TKM,Turkmenistan,Turkmenistan,Turkmenistan,TM,New Turkmen manat,,Europe & Central Asia,Upper middle income,TM,Original chained constant price data are rescaled.,2005,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,"1987–95, 1997–2007",BPM5 (Converted into BPM6 by IMF),Actual,,,,2012,"Multiple Indicator Cluster Survey, 2019","Living Standards Measurement Study Survey (LSMS), 1998",,,,2000,40
