,Country Name,m2016,f2016,index_,Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,National accounts base year,National accounts reference year,SNA price valuation,Lending category,Other groups,System of National Accounts,Alternative conversion factor,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Unnamed: 30,mean_age
118,Liechtenstein,,"1,4",136,LIE,Liechtenstein,Liechtenstein,Principality of Liechtenstein,LI,Swiss franc,,Europe & Central Asia,High income,LI,1998,,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,,,Special trade system,,,"2020 (expected). Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,,Yes,,,,,68
119,Sri Lanka,8,"2,046",137,LKA,Sri Lanka,Sri Lanka,Democratic Socialist Republic of Sri Lanka,LK,Sri Lankan rupee,,South Asia,Lower middle income,LK,2010,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2012,"Demographic and Health Survey, 2006/07","Expenditure survey/budget survey (ES/BS), 2016",Yes,2013-2014,2012.0,2017.0,,71
120,Sri Lanka,8,"2,046",137,LKA,Sri Lanka,Sri Lanka,Democratic Socialist Republic of Sri Lanka,LK,Sri Lankan rupee,,South Asia,Lower middle income,LK,2010,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2012,"Demographic and Health Survey, 2006/07","Expenditure survey/budget survey (ES/BS), 2016",Yes,2013-2014,2012.0,2017.0,,33
121,Lesotho,"72,4","3,094",140,LSO,Lesotho,Lesotho,Kingdom of Lesotho,LS,Lesotho loti,Fiscal year end: March 31; reporting period for national accounts data: CY.,Sub-Saharan Africa,Lower middle income,LS,2012,,Value added at basic prices (VAB),IDA,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2016,"Multiple Indicator Cluster Survey, 2018","Expenditure survey/budget survey (ES/BS), 2010",,2010,1985.0,2017.0,,72
122,Lithuania,"4,3","1,7",142,LTU,Lithuania,Lithuania,Republic of Lithuania,LT,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2015: 1 euro = 3.45280 Lithuanian litas. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. Based on data from EUROSTAT, the new reference year is 2010.",Europe & Central Asia,High income,LT,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,1990–95,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"2020 (expected). Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Income survey (IS), 2015",Yes,2010,2014.0,2018.0,,41
123,Luxembourg,2,"1,47",143,LUX,Luxembourg,Luxembourg,Grand Duchy of Luxembourg,LU,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Luxembourg franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,LU,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2011,,"Income survey (IS), 2015",Yes,2010,2013.0,2018.0,,60
124,Latvia,"3,9","1,7",144,LVA,Latvia,Latvia,Republic of Latvia,LV,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2014: 1 euro = 0.702804 Latvian lats. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. Based on data from EUROSTAT, the new reference year is 2010.",Europe & Central Asia,High income,LV,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,1987–95,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.","World Health Survey, 2003","Income survey (IS), 2015",Yes,2010,2013.0,2018.0,,67
125,"Macao SAR, China",,"1,311",145,MAC,"Macao SAR, China","Macao SAR, China",Macao Special Administrative Region of the People's Republic of China,MO,Macao pataca,"On 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.",East Asia & Pacific,High income,MO,Original chained constant price data are rescaled.,2019.0,Value added at producer prices (VAP),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2016,,,Yes,,2013.0,2016.0,,83
126,St. Martin (French part),,"1,81",146,MAF,St. Martin (French part),St. Martin (French part),St. Martin (French part),MF,Euro,,Latin America & Caribbean,High income,MF,,,,,,,,,,,,,,2015,,,Yes,,,,,81
127,Morocco,"23,3","2,491",147,MAR,Morocco,Morocco,Kingdom of Morocco,MA,Moroccan dirham,,Middle East & North Africa,Lower middle income,MA,2007,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2014,"Morocco National Survey on Population and Family Health, 2010/11","Expenditure survey/budget survey (ES/BS), 2013",,,2013.0,2018.0,,56
128,Monaco,"2,8",,148,MCO,Monaco,Monaco,Principality of Monaco,MC,Euro,,Europe & Central Asia,High income,MC,Original chained constant price data are rescaled.,2010.0,,,,Country uses the 1993 System of National Accounts methodology,,,,,,,,2016. Population figures compiled from administrative registers.,,,Yes,,,,,59
129,Monaco,"2,8",,148,MCO,Monaco,Monaco,Principality of Monaco,MC,Euro,,Europe & Central Asia,High income,MC,Original chained constant price data are rescaled.,2010.0,,,,Country uses the 1993 System of National Accounts methodology,,,,,,,,2016. Population figures compiled from administrative registers.,,,Yes,,,,,61
130,Moldova,"13,7","1,241",149,MDA,Moldova,Moldova,Republic of Moldova,MD,Moldovan leu,"Excluding Transnistria. For 1950-94, World Bank estimates using UN World Population Prospects' growth rates of whole Moldova.",Europe & Central Asia,Upper middle income,MD,Original chained constant price data are rescaled.,2010.0,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,1990–95,,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2014,"Multiple Indicator Cluster Survey, 2012","Expenditure survey/budget survey (ES/BS), 2017",Yes,2011,2012.0,2018.0,,37
131,Madagascar,34,"4,184",150,MDG,Madagascar,Madagascar,Republic of Madagascar,MG,Malagasy ariary,,Sub-Saharan Africa,Low income,MG,2007,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2018,"Demographic and Health Survey, 2021","Priority survey (PS), 2012",,,2006.0,2018.0,,79
132,Maldives,"7,3","2,093",151,MDV,Maldives,Maldives,Republic of Maldives,MV,Maldivian rufiyaa,,South Asia,Upper middle income,MV,2014,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2014,"Demographic and Health Survey, 2016/17","Integrated household survey (IHS), 2009/10",Yes,,,2018.0,,65
133,Mexico,"12,6","2,184",153,MEX,Mexico,Mexico,United Mexican States,MX,Mexican peso,,Latin America & Caribbean,Upper middle income,MX,2013,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2015","Integrated household survey (IHS), 2016",Yes,2007,2013.0,2018.0,,40
134,Marshall Islands,"29,1",,154,MHL,Marshall Islands,Marshall Islands,Republic of the Marshall Islands,MH,U.S. dollar,Fiscal year ends on September 30; reporting period for national accounts data: FY.,East Asia & Pacific,Upper middle income,MH,2014/15,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,,BPM6,,,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Republic of the Marshall Islands Demographic and Health Survey, 2007",,,,,,,88
135,Mali,68,"6,057",157,MLI,Mali,Mali,Republic of Mali,ML,West African CFA franc,,Sub-Saharan Africa,Low income,ML,1999,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Demographic and Health Survey, 2018","Integrated household survey (IHS), 2009/10",,,,2017.0,,64
136,Malta,"5,9","1,45",158,MLT,Malta,Malta,Republic of Malta,MT,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.4293 Maltese lira. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. National accounts data source from 1995 to 2015 is Eurostat; prior to 1995 is UN. The new reference year is 2010.",Middle East & North Africa,High income,MT,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,"Income survey (IS), 2015",Yes,2010,2009.0,2018.0,,79
137,Myanmar,"40,1","2,207",159,MMR,Myanmar,Myanmar,Republic of the Union of Myanmar,MM,Myanmar kyat,Fiscal year end: September 30; reporting period for national accounts data: FY.,East Asia & Pacific,Lower middle income,MM,2016,,Value added at producer prices (VAP),IDA,,Country uses the 1968 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2014,"Demographic and Health Survey, 2015/16","Integrated household survey (IHS), 2015",,2010,,2018.0,,72
138,Montenegro,"3,5","1,667",161,MNE,Montenegro,Montenegro,Montenegro,ME,Euro,"Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators continue to include data for Montenegro through 2005.",Europe & Central Asia,Upper middle income,ME,Original chained constant price data are rescaled.,2010.0,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),2011,"Multiple Indicator Cluster Survey, 2018","Expenditure survey/budget survey (ES/BS), 2014",Yes,2010,,2018.0,,77
139,Mongolia,"15,4","2,757",162,MNG,Mongolia,Mongolia,Mongolia,MN,Mongolian tugrik,,East Asia & Pacific,Lower middle income,MN,2015,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020,"Multiple Indicator Cluster Survey, 2018","Integrated household survey (IHS), 2016",Yes,2011,2011.0,2018.0,,39
140,Northern Mariana Islands,,,163,MNP,Northern Mariana Islands,Northern Mariana Islands,Commonwealth of the Northern Mariana Islands,MP,U.S. dollar,,East Asia & Pacific,High income,MP,2012,,,,,Country uses the 1968 System of National Accounts methodology,,,,,,,,2020 (expected),,,Yes,2007,,,,88
141,Mozambique,"53,1","5,243",164,MOZ,Mozambique,Mozambique,Republic of Mozambique,MZ,New Mozambican metical,,Sub-Saharan Africa,Low income,MZ,2014,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,1992–95,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2017,"Malaria Indicator Survey, 2018","Expenditure survey/budget survey (ES/BS), 2014",,2009-2010,1973.0,2018.0,,55
142,Mauritania,"54,4","4,674",165,MRT,Mauritania,Mauritania,Islamic Republic of Mauritania,MR,Mauritanian ouguiya,National account data were adjusted to reflect the new banknote (1 new ouguiya = 10 old ouguiya),Sub-Saharan Africa,Lower middle income,MR,2014,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),2013,"Demographic and Health Survey, 2019/20","Integrated household survey (IHS), 2014",,,,2017.0,,71
143,Mauritius,"12,2","1,4",166,MUS,Mauritius,Mauritius,Republic of Mauritius,MU,Mauritian rupee,,Sub-Saharan Africa,Upper middle income,MU,2006,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020 (expected),"World Health Survey, 2003","Integrated household survey (IHS), 2012",Yes,2014,2012.0,2018.0,,55
144,Malawi,"38,9","4,571",167,MWI,Malawi,Malawi,Republic of Malawi,MW,Malawi kwacha,,Sub-Saharan Africa,Low income,MW,2017,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2018,"Fifth Integrated Household Survey 2019-2020; Multiple Indicator Cluster Survey, 2019/20","Integrated household survey (IHS), 2016",,2006-2007,2012.0,2017.0,,60
145,Malaysia,"7,1","2,037",168,MYS,Malaysia,Malaysia,Malaysia,MY,Malaysian ringgit,,East Asia & Pacific,Upper middle income,MY,2015,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2020 (expected),"World Health Survey, 2003","Income survey (IS), 2015",Yes,"2015. Economic Census, Natural Resources Census, Livestock Census, Livestock and Aquaculture Census or Sample Agricultural Census.",2012.0,2018.0,,56
146,Namibia,"32,3","3,415",170,NAM,Namibia,Namibia,Republic of Namibia,,Namibian dollar,Fiscal year end: March 31; reporting period for national accounts data: CY.,Sub-Saharan Africa,Upper middle income,,2015,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2011,"Demographic and Health Survey, 2013","Expenditure survey/budget survey (ES/BS), 2015",,2013-2014,2013.0,2018.0,,30
147,New Caledonia,,"2,08",171,NCL,New Caledonia,New Caledonia,New Caledonia,NC,CFP franc,,East Asia & Pacific,High income,NC,1990,,Value added at producer prices (VAP),,,Country uses the 1993 System of National Accounts methodology,,,BPM6,,General trade system,,,2019,,,Yes,,,2015.0,,41
148,Niger,"50,9","7,239",172,NER,Niger,Niger,Republic of Niger,NE,West African CFA franc,,Sub-Saharan Africa,Low income,NE,2015,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,1993,,BPM6,Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),2012,"Demographic and Health Survey, 2017","Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2014",,2004-2008,2002.0,2016.0,,49
149,Nigeria,"66,9","5,526",173,NGA,Nigeria,Nigeria,Federal Republic of Nigeria,NG,Nigerian naira,,Sub-Saharan Africa,Lower middle income,NG,2010,,Value added at basic prices (VAB),Blend,,Country uses the 2008 System of National Accounts methodology,1971–98,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Living Standards Survey 2018-2019; General Household Survey, Panel 2018-2019","Integrated household survey (IHS), 2009/10",,"2007. Economic Census, Natural Resources Census, Livestock Census, Livestock and Aquaculture Census or Sample Agricultural Census.",1996.0,2018.0,,79
150,Nigeria,"66,9","5,526",173,NGA,Nigeria,Nigeria,Federal Republic of Nigeria,NG,Nigerian naira,,Sub-Saharan Africa,Lower middle income,NG,2010,,Value added at basic prices (VAB),Blend,,Country uses the 2008 System of National Accounts methodology,1971–98,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Living Standards Survey 2018-2019; General Household Survey, Panel 2018-2019","Integrated household survey (IHS), 2009/10",,"2007. Economic Census, Natural Resources Census, Livestock Census, Livestock and Aquaculture Census or Sample Agricultural Census.",1996.0,2018.0,,42
151,Nicaragua,"16,8","2,2",174,NIC,Nicaragua,Nicaragua,Republic of Nicaragua,NI,Nicaraguan gold cordoba,,Latin America & Caribbean,Lower middle income,NI,Original chained constant price data are rescaled.,2006.0,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,1965–95,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Reproductive Health Survey, 2006/2007","Living Standards Measurement Study Survey (LSMS), 2016",,2011,1985.0,2018.0,,43
152,Netherlands,"3,2","1,66",175,NLD,Netherlands,Netherlands,Kingdom of the Netherlands,NL,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 2.20371 Netherlands guilder. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,NL,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Income survey (IS), 2015",Yes,2010,2014.0,2018.0,,73
153,Norway,"2,1","1,72",176,NOR,Norway,Norway,Kingdom of Norway,NO,Norwegian krone,,Europe & Central Asia,High income,NO,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011. Population figures compiled from administrative registers.,,"Income survey (IS), 2014",Yes,2010,2014.0,2018.0,,68
154,Nepal,"28,4","2,118",177,NPL,Nepal,Nepal,Nepal,NP,Nepalese rupee,Fiscal year end: July 14; reporting period for national accounts data: FY.,South Asia,Lower middle income,NP,2010/11,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2011,"Multiple Indicator Cluster Survey, 2019","Living Standards Measurement Study Survey (LSMS), 2010/11",,2011-2012,2011.0,2017.0,,52
155,Nauru,"28,5",,178,NRU,Nauru,Nauru,Republic of Nauru,NR,Australian dollar,Fiscal year end: June 30; reporting period for national accounts data: FY.,East Asia & Pacific,High income,NR,2007,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM6,,,,,2011,"Nauru Demographic and Health Survey, 2007",,Yes,,,,,51
156,Nauru,"28,5",,178,NRU,Nauru,Nauru,Republic of Nauru,NR,Australian dollar,Fiscal year end: June 30; reporting period for national accounts data: FY.,East Asia & Pacific,High income,NR,2007,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM6,,,,,2011,"Nauru Demographic and Health Survey, 2007",,Yes,,,,,72
157,New Zealand,"4,5","1,87",179,NZL,New Zealand,New Zealand,New Zealand,NZ,New Zealand dollar,Fiscal year end: March 31; reporting period for national accounts data: CY.,East Asia & Pacific,High income,NZ,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,,,2018,,,Yes,2012,2012.0,2018.0,,51
158,Oman,"9,2","2,666",181,OMN,Oman,Oman,Sultanate of Oman,OM,Omani rial,,Middle East & North Africa,High income,OM,2010,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2014",,,2012-2013,2014.0,2018.0,,72
159,Pakistan,"64,2","3,481",183,PAK,Pakistan,Pakistan,Islamic Republic of Pakistan,PK,Pakistani rupee,Fiscal year end: June 30; reporting period for national accounts data: FY.,South Asia,Lower middle income,PK,2005/06,,Value added at basic prices (VAB),Blend,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2017,"Pakistan Maternal Mortality Survey
Other Data , 2019","Integrated household survey (IHS), 2014/15",,2010,2006.0,2018.0,,36
160,Panama,"14,1","2,514",184,PAN,Panama,Panama,Republic of Panama,PA,Panamanian balboa,,Latin America & Caribbean,Upper middle income,PA,Original chained constant price data are rescaled.,2007.0,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2013","Integrated household survey (IHS), 2016",Yes,2011,2001.0,2016.0,,37
161,Peru,"11,9","2,4",185,PER,Peru,Peru,Republic of Peru,PE,Peruvian new sol,,Latin America & Caribbean,Upper middle income,PE,2007,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,1985–90,,BPM5 (Converted into BPM6 by IMF),Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2017,"Continuous Demographic and Health Survey, 2014","Integrated household survey (IHS), 2017",,2012,2011.0,2018.0,,76
162,Philippines,"21,5","2,925",186,PHL,Philippines,Philippines,Republic of the Philippines,PH,Philippine peso,,East Asia & Pacific,Lower middle income,PH,2018,,Value added at producer prices (VAP),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2020 (expected),"Demographic and Health Survey, 2017","Expenditure survey/budget survey (ES/BS), 2015",Yes,2012,2012.0,2018.0,,45
163,Palau,"13,7",,187,PLW,Palau,Palau,Republic of Palau,PW,U.S. dollar,Fiscal year ends on September 30; reporting period for national accounts data: FY.,East Asia & Pacific,High income,PW,2019,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM6,,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2015,,"Expenditure survey/budget survey (ES/BS), 2006",Yes,,,2018.0,,88
164,Papua New Guinea,"42,4","3,658",188,PNG,Papua New Guinea,Papua New Guinea,The Independent State of Papua New Guinea,PG,Papua New Guinea kina,,East Asia & Pacific,Lower middle income,PG,2013,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology,1989,,BPM5 (Converted into BPM6 by IMF),Actual,,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Demographic and Health Survey, 2016/18","Integrated household survey (IHS), 2009/10",,,1987.0,2012.0,,57
165,Poland,4,"1,32",189,POL,Poland,Poland,Republic of Poland,PL,Polish zloty,,Europe & Central Asia,High income,PL,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Expenditure survey/budget survey (ES/BS), 2016",Yes,2010,2013.0,2018.0,,42
166,Puerto Rico,,"1,3",191,PRI,Puerto Rico,Puerto Rico,Puerto Rico,PR,U.S. dollar,Fiscal year end: June 30; reporting period for national accounts data: FY.,Latin America & Caribbean,High income,PR,1953/54,,Value added at producer prices (VAP),,,Country uses the 1968 System of National Accounts methodology,,,,,General trade system,,,2020 (expected),"Reproductive Health Survey, 1995/96",,Yes,2012,2006.0,,,46
167,Portugal,"2,9","1,31",193,PRT,Portugal,Portugal,Portuguese Republic,PT,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 200.482 Portuguese escudo. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,PT,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2011,,,Yes,2009,2014.0,2018.0,,62
168,Paraguay,17,"2,48",194,PRY,Paraguay,Paraguay,Republic of Paraguay,PY,Paraguayan guarani,,Latin America & Caribbean,Upper middle income,PY,2014,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2012,"Multiple Indicator Cluster Survey, 2016","Integrated household survey (IHS), 2017",,2008,2010.0,2018.0,,86
169,West Bank and Gaza,"16,6","4,008",195,PSE,West Bank and Gaza,West Bank and Gaza,West Bank and Gaza,PS,Israeli new shekel,,Middle East & North Africa,Lower middle income,GZ,2015,,,,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,,Consolidated central government,Special Data Dissemination Standard (SDDS),2017,"Multiple Indicator Cluster Survey, 2019/20","Expenditure survey/budget survey (ES/BS), 2016/17",,2010,2013.0,2018.0,,82
170,West Bank and Gaza,"16,6","4,008",195,PSE,West Bank and Gaza,West Bank and Gaza,West Bank and Gaza,PS,Israeli new shekel,,Middle East & North Africa,Lower middle income,GZ,2015,,,,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,,Consolidated central government,Special Data Dissemination Standard (SDDS),2017,"Multiple Indicator Cluster Survey, 2019/20","Expenditure survey/budget survey (ES/BS), 2016/17",,2010,2013.0,2018.0,,85
171,French Polynesia,,"2,013",198,PYF,French Polynesia,French Polynesia,French Polynesia,PF,CFP franc,,East Asia & Pacific,High income,PF,2005,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology,,,BPM6,,Special trade system,,,2017,,,Yes,,,2015.0,,46
172,Qatar,"7,3","1,907",199,QAT,Qatar,Qatar,State of Qatar,QA,Qatari riyal,,Middle East & North Africa,High income,QA,2018,,Value added at producer prices (VAP),,,Country uses the 1993 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2012",,Yes,,2013.0,2018.0,,69
173,Romania,"7,7","1,58",200,ROU,Romania,Romania,Romania,RO,New Romanian leu,,Europe & Central Asia,Upper middle income,RO,Original chained constant price data are rescaled.,2005.0,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,"1987–89, 1992",,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2011,"Romania Reproductive Health Survey, 2004","Income survey (IS), 2016",Yes,2010,2013.0,2018.0,,60
174,Rwanda,"29,2","3,885",202,RWA,Rwanda,Rwanda,Republic of Rwanda,RW,Rwandan franc,,Sub-Saharan Africa,Low income,RW,2017,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,1994,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2012,"Demographic and Health Survey, 2019/20","Integrated household survey (IHS), 2016/17",,"2008, 2013",1999.0,2016.0,,33
175,Saudi Arabia,"11,1","2,532",204,SAU,Saudi Arabia,Saudi Arabia,Kingdom of Saudi Arabia,SA,Saudi Arabian riyal,,Middle East & North Africa,High income,SA,2010,,Value added at producer prices (VAP),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2020 (expected),Demographic Survey 2016,,,2015,2006.0,2018.0,,61
